As World War I broke out. ||| As ||| As World War I broke out, his company received large government contracts for use of the material.
Than 100 scattered throughout the high country. ||| than ||| Within the Teton Range, small alpine lakes in cirques are common, and there are more than 100 scattered throughout the high country.
That allowed Aliso Creek and other rivers to cut through the San Joaquin Hills. ||| that ||| It was this surge in volume that allowed Aliso Creek and other rivers to cut through the San Joaquin Hills.
As far inland as West Virginia. ||| as ||| Moderate to severe damage extended up the Atlantic coastline and as far inland as West Virginia.
Than lakes and contain salt water, but the Sea of Galilee is a freshwater lake. ||| than ||| Seas are generally larger than lakes and contain salt water, but the Sea of Galilee is a freshwater lake.
Where the hurricane made landfall, including reports of severe crop damage. ||| where ||| Damage was heaviest in Sinaloa, where the hurricane made landfall, including reports of severe crop damage.
Since 1898. ||| since ||| This made it the first tropical cyclone on record to hit the country since 1898.
As Toto had recently disbanded when Ever Changing Times was released. ||| As ||| As Toto had recently disbanded when Ever Changing Times was released, Lukather embarked on a solo tour to promote the album.
As A Life Force. ||| as ||| Eisner explored these sorts of characters and situations further in his other Dropsie Avenue books, such as A Life Force.
That Fleming acknowledges the defections. ||| that ||| The briefing between Bond and M is the first time in the twelve books that Fleming acknowledges the defections.
As of 2009 is stored out of service. ||| as ||| It was purchased by Jacobson in 1994 and as of 2009 is stored out of service.
Although he worked on it for several years and even advertised for it. ||| Although ||| Although he worked on it for several years and even advertised for it, it was never produced.
Though without Herriman's direct involvement. ||| though ||| The first animated films starring a cat were produced by Hearst's International Film Service, though without Herriman's direct involvement.
Until that December. ||| until ||| The strip lasted until that December.
After their father's death. ||| after ||| Narayan assisted his brother's four children after their father's death.
Than the national average of 73.00%. ||| than ||| The city had an average literacy rate of 91.37%, significantly higher than the national average of 73.00%.
That California's climate would help Margret, who had long suffered from ill health. ||| that ||| In addition to leaving financial worries behind, Reed hoped that California's climate would help Margret, who had long suffered from ill health.
While the wave was south of Puerto Rico. ||| While ||| While the wave was south of Puerto Rico, another tropical wave reached the system and enhanced deep convection.
That then applied to criminal cases the Claimant, though present in court, was not allowed to testify. ||| that ||| Under the legal rules that then applied to criminal cases the Claimant, though present in court, was not allowed to testify.
As attorney general, he returned to private life. ||| as ||| Following his service as attorney general, he returned to private life.
That the argument could have been resolved easily had either side made concessions. ||| that ||| Many commentators felt that the argument could have been resolved easily had either side made concessions.
After benefiting from similar incidents and disqualifications in the quarter and semifinals. ||| after ||| He had qualified for the final after benefiting from similar incidents and disqualifications in the quarter and semifinals.
That lie near the stream also share their name with the creek. ||| that ||| The city of Aliso Viejo and several other communities that lie near the stream also share their name with the creek.
As the vertical rays of the Sun reach the Tropic of Cancer. ||| as ||| The temperatures in the north rise as the vertical rays of the Sun reach the Tropic of Cancer.
As one of the best rushing defencemen. ||| as ||| His opponents regarded him as one of the best rushing defencemen.
After residents throughout the country provided $150,000 in donations. ||| after ||| The steeple of the Old North Church in Boston was rebuilt in 1955, after residents throughout the country provided $150,000 in donations.
As the Central West. ||| as ||| The northern boundary beyond the Riverina is determined by the Lachlan River catchment area and is referred to as the Central West.
Because of the superior weapons held by the thirty Legion soldiers on that wing. ||| because ||| The initial flanking attempt was prevented because of the superior weapons held by the thirty Legion soldiers on that wing.
